Node_ID	Position	Filled_Area
outside_main_1	(771.5, 542.0)	3063004
corridor_main_1	(469.0, 223.0)	43335
corridor_main_2	(177.5, 405.5)	-14444
corridor_main_3	(1427.0, 680.5)	2033856
corridor_main_4	(1220.0, 735.0)	670971
corridor_main_5	(1757.0, 737.0)	800088
room_1	(379.5, 107.5)	71919
room_2	(530.0, 291.5)	36036
room_3	(238.0, 335.5)	25584
room_4	(1424.0, 387.0)	-45586
room_5	(531.5, 405.5)	63987
room_6	(1106.5, 426.5)	347901
room_7	(1741.75, 429.25)	-160084
room_8	(206.5, 505.5)	-27816
room_9	(534.5, 507.5)	87780
room_10	(206.5, 610.5)	-36708
room_11	(533.0, 612.0)	440690
room_12	(206.5, 712.5)	111162
room_13	(531.5, 712.5)	135135
room_14	(1613.0, 807.0)	2168068
room_15	(1802.5, 807.0)	6728511
room_16	(206.5, 813.0)	-52288
room_17	(533.0, 813.0)	1034919
room_18	(1173.5, 828.0)	1199195
room_19	(206.5, 919.5)	341673
room_20	(531.5, 919.5)	673029
room_21	(1629.5, 949.5)	1082103
room_22	(533.0, 1024.0)	749238
room_23	(206.5, 1024.0)	153156
room_24	(1631.0, 1050.0)	4632113
room_25	(1270.5, 1077.5)	3386856
room_26	(530.0, 1120.0)	227304
room_27	(206.5, 1132.0)	167876
room_28	(1632.5, 1150.5)	3216767
room_29	(1634.0, 1252.0)	1496044
room_30	(548.0, 1263.0)	250875
room_31	(205.0, 1299.5)	-42722
room_32	(680.5, 1299.5)	539213
room_33	(793.5, 1299.5)	663964
room_34	(890.5, 1299.5)	1938249
room_35	(1038.0, 1299.5)	886932
room_36	(543.5, 1361.5)	274275
